source_id|display_name|core_domain|collection_scope_ids|source_roles|official_endpoint|official_documentation_url|authority_basis|channel_type|access_mode
bricklink-catalog-api|BrickLink Catalog API|toys-models|scope-construction-systems|CATALOG_REFERENCE;LISTING_SUPPLY|https://www.bricklink.com/v3/api.page|https://www.bricklink.com/v3/api.page|Specialist LEGO-owned marketplace and catalog API exposing item, color, price and inventory resources.|SPECIALIST_CATALOG_AND_MARKETPLACE_API|OAUTH_API_TERMS_APPLY
rebrickable-lego-api|Rebrickable LEGO API|toys-models|scope-construction-systems|CATALOG_REFERENCE;PRIMARY_AUTHORITY|https://rebrickable.com/api/|https://rebrickable.com/api/v3/docs/|Structured specialist API for LEGO sets, parts, minifigures and inventories.|SPECIALIST_CATALOG_API|API_KEY
tamiya-official-products|Tamiya Official Product Catalog|toys-models|scope-model-kits-mecha;scope-diecast-scale-vehicles|PRIMARY_AUTHORITY;CATALOG_REFERENCE|https://www.tamiya.com/english/products/|https://www.tamiya.com/english/products/|Official manufacturer product catalog for scale models, Mini 4WD and radio-control products.|PRIMARY_MANUFACTURER_CATALOG|PUBLIC_WEB
hot-wheels-collectors|Hot Wheels Collectors|toys-models|scope-diecast-scale-vehicles|PRIMARY_AUTHORITY;CATALOG_REFERENCE;CULTURE_ATTENTION|https://creations.mattel.com/collections/hot-wheels-collectors|https://creations.mattel.com/pages/hot-wheels-collectors|Official Mattel collector channel for limited Hot Wheels releases and collector programs.|PRIMARY_MANUFACTURER_COLLECTOR_CATALOG|PUBLIC_WEB
hasbro-pulse-collections|Hasbro Pulse Collections|toys-models|scope-designer-toys-action-figures|PRIMARY_AUTHORITY;CATALOG_REFERENCE;LISTING_SUPPLY|https://www.hasbropulse.com/collections|https://support.hasbropulse.com/|Official Hasbro collector retail and release channel for licensed action figures and exclusives.|PRIMARY_MANUFACTURER_COLLECTOR_CHANNEL|PUBLIC_WEB
good-smile-product-database|Good Smile Company Product Database|toys-models|scope-designer-toys-action-figures;scope-model-kits-mecha|PRIMARY_AUTHORITY;CATALOG_REFERENCE|https://www.goodsmile.com/en/product|https://www.goodsmile.com/en/product|Official product database for figures, Nendoroids, scale figures and model kits.|PRIMARY_MANUFACTURER_CATALOG|PUBLIC_WEB
tamashii-nations-item-catalog|Tamashii Nations Item Catalog|toys-models|scope-designer-toys-action-figures;scope-model-kits-mecha|PRIMARY_AUTHORITY;CATALOG_REFERENCE|https://tamashiiweb.com/item/|https://tamashiiweb.com/item/|Official Bandai Spirits Tamashii Nations item catalog and release archive.|PRIMARY_MANUFACTURER_CATALOG|PUBLIC_WEB
kotobukiya-product-catalog|Kotobukiya Product Catalog|toys-models|scope-model-kits-mecha;scope-designer-toys-action-figures|PRIMARY_AUTHORITY;CATALOG_REFERENCE|https://www.kotobukiya.co.jp/en/product/|https://www.kotobukiya.co.jp/en/product/|Official manufacturer catalog for model kits, figures and licensed collectibles.|PRIMARY_MANUFACTURER_CATALOG|PUBLIC_WEB
watchbase-datafeed-api|WatchBase Datafeed API|watches-jewelry|scope-mechanical-watches;scope-vintage-neo-vintage-watches|CATALOG_REFERENCE;PRIMARY_AUTHORITY|https://datafeed.watchbase.com/|https://datafeed.watchbase.com/documentation|Specialist structured watch database and datafeed for brands, references, calibres and specifications.|SPECIALIST_WATCH_DATABASE_API|COMMERCIAL_API_KEY
gia-report-check|GIA Report Check|watches-jewelry|scope-fine-jewelry|AUTHENTICATION_CONDITION;PRIMARY_AUTHORITY|https://www.gia.edu/report-check-landing|https://www.gia.edu/report-check|Official GIA database for validating grading-report information and gemstone identity claims.|GRADING_AUTHORITY_DATABASE|PUBLIC_WEB
igi-report-verification|IGI Report Verification|watches-jewelry|scope-fine-jewelry|AUTHENTICATION_CONDITION;PRIMARY_AUTHORITY|https://www.igi.org/verify-your-report/|https://www.igi.org/verify-your-report/|Official International Gemological Institute report-verification channel.|GRADING_AUTHORITY_DATABASE|PUBLIC_WEB
patek-philippe-museum-collection|Patek Philippe Museum Collection|watches-jewelry|scope-mechanical-watches;scope-vintage-neo-vintage-watches|PRIMARY_AUTHORITY;CATALOG_REFERENCE;PROVENANCE_HISTORY|https://www.patek.com/en/company/patek-philippe-museum/the-collection|https://www.patek.com/en/company/patek-philippe-museum|Official manufacturer museum collection covering historical timepieces and watchmaking heritage.|PRIMARY_MANUFACTURER_MUSEUM_COLLECTION|PUBLIC_WEB
rolex-watch-catalog|Rolex Watch Catalog|watches-jewelry|scope-mechanical-watches|PRIMARY_AUTHORITY;CATALOG_REFERENCE|https://www.rolex.com/watches|https://www.rolex.com/watches|Official manufacturer catalog for current references, configurations and technical specifications.|PRIMARY_MANUFACTURER_CATALOG|PUBLIC_WEB
christies-watches-results|Christie's Watches Department|watches-jewelry|scope-mechanical-watches;scope-vintage-neo-vintage-watches|SOLD_TRANSACTION;AUCTION_PRIVATE_SALE;PROVENANCE_HISTORY|https://www.christies.com/en/departments/watches-and-wristwatches|https://www.christies.com/en/help/auction-results|Official auction-house department and results channel for collectible watches.|MARKET_AUTHORITY_AUCTION_ARCHIVE|PUBLIC_WEB
sothebys-watches-results|Sotheby's Watches Department|watches-jewelry|scope-mechanical-watches;scope-vintage-neo-vintage-watches|SOLD_TRANSACTION;AUCTION_PRIVATE_SALE;PROVENANCE_HISTORY|https://www.sothebys.com/en/departments/watches|https://www.sothebys.com/en/buy/auction-results|Official specialist auction channel for watch lots, estimates and results.|MARKET_AUTHORITY_AUCTION_ARCHIVE|PUBLIC_WEB
bonhams-watches-results|Bonhams Watches Department|watches-jewelry|scope-mechanical-watches;scope-vintage-neo-vintage-watches;scope-fine-jewelry|SOLD_TRANSACTION;AUCTION_PRIVATE_SALE;PROVENANCE_HISTORY|https://www.bonhams.com/department/WAT/watches/|https://www.bonhams.com/auction-results/|Official auction-house watches channel and results archive.|MARKET_AUTHORITY_AUCTION_ARCHIVE|PUBLIC_WEB
classic-com-market-data|CLASSIC.COM Market Data|automobiles-mobility|scope-collector-cars;scope-modern-classics|SOLD_TRANSACTION;LISTING_SUPPLY;CATALOG_REFERENCE|https://www.classic.com/|https://www.classic.com/about/|Specialist collector-car market database aggregating listings, sold results and model benchmarks.|SPECIALIST_MARKET_DATABASE|PUBLIC_WEB
bonhams-cars-results|Bonhams Cars Auction Results|automobiles-mobility|scope-collector-cars;scope-modern-classics;scope-motorcycles-scooters;scope-automotive-memorabilia-parts|SOLD_TRANSACTION;AUCTION_PRIVATE_SALE;PROVENANCE_HISTORY|https://cars.bonhams.com/|https://cars.bonhams.com/auction-results/|Official Bonhams Cars auction catalog and results channel for collector vehicles and automobilia.|MARKET_AUTHORITY_AUCTION_ARCHIVE|PUBLIC_WEB
broad-arrow-results|Broad Arrow Auction Results|automobiles-mobility|scope-collector-cars;scope-modern-classics|SOLD_TRANSACTION;AUCTION_PRIVATE_SALE;PROVENANCE_HISTORY|https://www.broadarrowauctions.com/|https://www.broadarrowauctions.com/auction-results|Official specialist collector-car auction catalog and results channel.|MARKET_AUTHORITY_AUCTION_ARCHIVE|PUBLIC_WEB
gooding-christies-results|Gooding Christie's Auction Results|automobiles-mobility|scope-collector-cars;scope-modern-classics|SOLD_TRANSACTION;AUCTION_PRIVATE_SALE;PROVENANCE_HISTORY|https://www.goodingco.com/|https://www.goodingco.com/auction-results|Official Gooding Christie's collector-car auction and results channel.|MARKET_AUTHORITY_AUCTION_ARCHIVE|PUBLIC_WEB
collecting-cars-sold|Collecting Cars Sold Auctions|automobiles-mobility|scope-collector-cars;scope-modern-classics;scope-motorcycles-scooters|SOLD_TRANSACTION;LISTING_SUPPLY|https://collectingcars.com/|https://collectingcars.com/sold|Specialist online auction platform with visible sold outcomes for cars, motorcycles and automobilia.|STRUCTURED_MARKETPLACE_RESULTS|PUBLIC_WEB
mecum-auction-results|Mecum Auction Results|automobiles-mobility|scope-collector-cars;scope-modern-classics;scope-motorcycles-scooters|SOLD_TRANSACTION;AUCTION_PRIVATE_SALE|https://www.mecum.com/auction-results/|https://www.mecum.com/auction-results/|Official Mecum auction results channel for collector vehicles and motorcycles.|MARKET_AUTHORITY_AUCTION_ARCHIVE|PUBLIC_WEB
barrett-jackson-results|Barrett-Jackson Results Archive|automobiles-mobility|scope-collector-cars;scope-modern-classics;scope-automotive-memorabilia-parts|SOLD_TRANSACTION;AUCTION_PRIVATE_SALE|https://www.barrett-jackson.com/Archive/Event/Results|https://www.barrett-jackson.com/Archive/Event/Results|Official Barrett-Jackson historical event and lot-results archive.|MARKET_AUTHORITY_AUCTION_ARCHIVE|PUBLIC_WEB
iconic-auctioneers-results|Iconic Auctioneers Results|automobiles-mobility|scope-collector-cars;scope-modern-classics;scope-motorcycles-scooters|SOLD_TRANSACTION;AUCTION_PRIVATE_SALE|https://www.iconicauctioneers.com/auction-results|https://www.iconicauctioneers.com/auction-results|Official specialist UK auction results channel for classic, competition and collectible vehicles.|MARKET_AUTHORITY_AUCTION_ARCHIVE|PUBLIC_WEB
museum-fit-online-collections|Museum at FIT Online Collections|fashion-accessories|scope-designer-garments;scope-handbags-leather-goods;scope-eyewear-accessories|PRIMARY_AUTHORITY;CATALOG_REFERENCE;CULTURE_ATTENTION|https://fashionmuseum.fitnyc.edu/|https://www.fitnyc.edu/museum/collections/|Official museum online collection covering more than 50,000 garments and accessories.|MUSEUM_AUTHORITY_COLLECTION|PUBLIC_WEB
palais-galliera-collection|Palais Galliera Collection|fashion-accessories|scope-designer-garments;scope-handbags-leather-goods;scope-eyewear-accessories|PRIMARY_AUTHORITY;CATALOG_REFERENCE;CULTURE_ATTENTION|https://www.parismuseescollections.paris.fr/en/museum/palais-galliera|https://www.palaisgalliera.paris.fr/en/collections|Official City of Paris fashion museum collection database.|MUSEUM_AUTHORITY_COLLECTION|PUBLIC_WEB
kyoto-costume-digital-archive|Kyoto Costume Institute Digital Archive|fashion-accessories|scope-designer-garments;scope-handbags-leather-goods|PRIMARY_AUTHORITY;CATALOG_REFERENCE;CULTURE_ATTENTION|https://www.kci.or.jp/en/archives/digital_archives/|https://www.kci.or.jp/en/archives/|Official costume institute digital archive covering historical Western dress and fashion objects.|MUSEUM_AUTHORITY_ARCHIVE|PUBLIC_WEB
fidm-museum-collections|FIDM Museum Collections|fashion-accessories|scope-designer-garments;scope-handbags-leather-goods;scope-eyewear-accessories|PRIMARY_AUTHORITY;CATALOG_REFERENCE;CULTURE_ATTENTION|https://fidmmuseum.org/collections/|https://fidmmuseum.org/collections/|Official museum collection channel for fashion, textiles and related design objects.|MUSEUM_AUTHORITY_COLLECTION|PUBLIC_WEB
europeana-apis-fashion|Europeana APIs|fashion-accessories|scope-handbags-leather-goods;scope-sneakers-footwear;scope-designer-garments;scope-eyewear-accessories|CATALOG_REFERENCE;PROVENANCE_HISTORY;CULTURE_ATTENTION|https://pro.europeana.eu/page/apis|https://pro.europeana.eu/page/search|Pan-European cultural-heritage APIs exposing museum and archive metadata, including fashion and accessories.|INSTITUTIONAL_AGGREGATED_OPEN_DATA_API|API_KEY_OR_PUBLIC_API
christies-handbags-results|Christie's Handbags and Accessories|fashion-accessories|scope-handbags-leather-goods|SOLD_TRANSACTION;AUCTION_PRIVATE_SALE;PROVENANCE_HISTORY|https://www.christies.com/en/departments/handbags-and-accessories|https://www.christies.com/en/help/auction-results|Official auction-house luxury handbags and accessories channel.|MARKET_AUTHORITY_AUCTION_ARCHIVE|PUBLIC_WEB
nike-snkrs-launch-calendar|Nike SNKRS Launch Calendar|fashion-accessories|scope-sneakers-footwear|PRIMARY_AUTHORITY;CATALOG_REFERENCE;LISTING_SUPPLY|https://www.nike.com/launch|https://www.nike.com/launch|Official manufacturer launch calendar for sneaker releases, colorways and release dates.|PRIMARY_MANUFACTURER_RELEASE_CHANNEL|PUBLIC_WEB
goat-sneaker-marketplace|GOAT Sneaker Marketplace|fashion-accessories|scope-sneakers-footwear;scope-handbags-leather-goods|LISTING_SUPPLY;AUTHENTICATION_CONDITION|https://www.goat.com/sneakers|https://www.goat.com/about|Specialist authenticated resale marketplace for sneakers, apparel and accessories.|STRUCTURED_AUTHENTICATED_MARKETPLACE|PUBLIC_WEB
moma-collection-dataset|MoMA Collection Dataset|design-furniture|scope-seating;scope-lighting;scope-tables-storage;scope-decorative-design-objects|PRIMARY_AUTHORITY;CATALOG_REFERENCE;PROVENANCE_HISTORY|https://github.com/MuseumofModernArt/collection|https://www.moma.org/collection/about|Official MoMA machine-readable collection dataset with object, maker and classification records.|MUSEUM_AUTHORITY_OPEN_DATASET|PUBLIC_GITHUB_DATASET
rijksmuseum-data-services|Rijksmuseum Data Services|design-furniture|scope-decorative-design-objects;scope-seating;scope-tables-storage|PRIMARY_AUTHORITY;CATALOG_REFERENCE;PROVENANCE_HISTORY|https://data.rijksmuseum.nl/|https://data.rijksmuseum.nl/docs/search|Official museum Linked Open Data and search API for collection objects.|MUSEUM_AUTHORITY_LINKED_DATA_API|PUBLIC_API
mak-collection-online|MAK Collection Online|design-furniture|scope-seating;scope-lighting;scope-tables-storage;scope-decorative-design-objects|PRIMARY_AUTHORITY;CATALOG_REFERENCE;CULTURE_ATTENTION|https://sammlung.mak.at/en|https://www.mak.at/en/mak_collection|Official Museum of Applied Arts Vienna online collection for design, furniture and decorative arts.|MUSEUM_AUTHORITY_COLLECTION|PUBLIC_WEB
